State,Creditor Name,Bureau 
CA ,STEARNS BANK-ST CLOU,Equifax
CA ,AMEX,Experian
CA ,BK OF AMER,TransUnion
CA ,ELAN FINANCI,TransUnion
CA ,MICROBILT,Experian
CA ,SYNCB/C&B,Experian
CA ,SYNCB/C&B,TransUnion
CA ,US SM BUS ADMIN ODA,Experian
CA ,JPMCB CARD,Experian
CA ,US BANK DS NORTHEAST,Experian
CA ,WFDS,Experian
CA ,TESLA FINANC,TransUnion
CA ,BMO BANK NA,TransUnion
CA ,TD AUTO FIN,TransUnion
CA ,HPCMB CAD,Experian
CA ,WFDS,Experian
CA ,EXPERIAN BUSINESS CRED,Experian
CA ,CAPITAL ONE,TransUnion
CA ,CAPITAL ONE BANK USA ,Equifax
CA ,FIRST CITIZENS BANK,Equifax
CA ,BK OF AMER,Experian
CA ,CITI CARDS CBNA,Experian
CA ,US BANK,TransUnion
CA ,MB FIN SVCS,TransUnion
CA ,DOWNTOWN LA ,TransUnion
CA ,TOWER FEDERA,TransUnion
CA ,WF PLL,Experian
CA ,CRTFD CRDT,TransUnion
CA ,CERTIFIED CREDIT REP,Equifax
CA ,CAP ONE NA,Experian
CA ,CAPITAL ONE,TransUnion
CA ,CAPITAL ONE BANK USA,Equifax
CA ,US BANK DS WEST,Experian
CA ,ALLY FINANCIAL,Experian
CA ,ALLY FINANCIAL,Experian
CA ,BK OF AMER ,Experian
CA ,JPMCB AUTO,TransUnion
CA ,TD AUTO FIN,TransUnion
CA ,"SHIFT TECHNOLOGIES, ",Equifax
CA ,JPMCB CARD,Experian
CA ,ONEMAIN FINANCIAL SERV,Experian
CA ,CAP ONE NA,Experian
CA ,ONEMAIN,TransUnion
CA ,CAPITAL ONE,TransUnion
CA ,TD BANK USA/TARGET C ,Equifax
CA ,TD BANK USA/TARGET C,Equifax
CA ,XACTUS-CIS/FAIRWAY IND,Experian
CA ,CIS WEST,TransUnion
CA ,XACTUS,Equifax
CA ,CITIBANK NA,Equifax
CA ,EXPERIAN BUSINESS CRED,Experian
CA ,AMEX,Experian
CA ,CITIBANK N A,Equifax
CA ,ELAN FINANCI,TransUnion
CA ,ELAN FINANCIAL SERVICE,Experian
CA ,PNC BANK,Experian
CA ,ELAN FINANCI,TransUnion
CA ,CITICARDS CBNA,Experian
CA ,US BANK,TransUnion
CA ,CITICARDS CBNA,Experian
CA ,US BANK,TransUnion
CA ,DIGITAL FEDERAL CRED,Equifax
CA ,AMER AGCRDT,TransUnion
CA ,LIGHTSTRM,TransUnion
CA ,PUGET SOUND COOPERAT,Equifax
CA ,ELAN FINANCIAL SERVICE,Experian
CA ,JPMCB CARD,Experian
CA ,SYNCB,TransUnion
CA ,JPMCB CARD,Experian
CA ,COMENITY BANK/EXPRES,Equifax
CA ,PREMIERONE CU,Experian
CA ,SYNCB/TJX CO,Experian
CA ,SYNCB/TJX DC,TransUnion
CA ,"CITIBANK NA., BEST B",Equifax
CA ,ALLY FINANCIAL,Equifax
CA ,CAPITAL ONE,Equifax
CA ,700/CAPITOL EXPRESSWAY,Experian
CA ,ALLY FINANCIAL,Experian
CA ,FORD CRED,Experian
CA ,WFDS,Experian
CA ,CAPITAL ONE AUTO FIN,Experian
CA ,BK OF AMER,Experian
CA ,COAF,TransUnion
CA ,COMENITY BANK/EXPRES,Equifax
CA ,FUNDATION/BANK OF THE,Experian
CA ,WF CRD SVC,Experian
CA ,COMENITY BANK/EXPRES,Equifax
CA ,BK OF AMER,TransUnion
CA ,CAPITAL ONE,Equifax
CA ,700/CAPITOL GMC BUICK,Experian
CA ,CAPITAL ONE AUTO FIN,Experian
CA ,COAF,TransUnion
CA ,TD AUTO FIN,TransUnion
CA ,JPCMB AUTO,TransUnion
CA ,BK OF AMER,Experian
CA ,ONEMAIN,Experian
