lender_table,name,product_name,application_url,lender_row_url,eligible_states,bureaus_pulled,business_bureau_pulled,double_pull,multiple_llc_allowed,stated_requirements,docs_requested,application_method,approval_speed,typical_approval_range,average_starting_loc,max_known_loc,apr_terms,repayment_terms,draw_period_renewal,relationship_required,deposit_balance_impact,known_friendly_states,insider_tips,priority_tier,notes,active,branch_location_info,prequal_soft_pull,intro_offers,requires_account_opening,minimum_deposit,underwriter_interaction,relationship_manager,documentation_required,minimum_time_in_business_years,minimum_revenue_threshold,collateral_required,renewal_terms,loan_type,apr_range_pct,repayment_terms_months,funding_speed,loc_type,external_row_id
InBranchBizCC,Atlantic Union Bank,,,https://app.notion.com/p/legacystrong/Virginia-253c3aa761d28024a870e60ca73b3bef,VA,,,,,,,,,,,,,,,,,,,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-INBRANCHBIZCC-ATLANTIC-UNION-BANK
InBranchBizCC,BancFirst,,,https://app.notion.com/p/legacystrong/Oklahoma-253c3aa761d2808aaab1fdc8f586b2f0,OK,,,,,,,,,,,,,,,,,,,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-INBRANCHBIZCC-BANCFIRST
InBranchBizCC,BancorpSouth Bank,,https://www.bancorpsouth.com/business/business-checking,https://app.notion.com/p/legacystrong/Arkansas-253c3aa761d280bebebfdc79020e3fc3,"AR, LA, MS",,,,,,,,,,,,,,,,,,,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-INBRANCHBIZCC-BANCORPSOUTH-BANK
InBranchBizCC,Bank Forward,,,https://app.notion.com/p/legacystrong/North-Dakota-253c3aa761d280fb8cc3db0a998caa8c,ND,,,,,,,,,,,,,,,,,,,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-INBRANCHBIZCC-BANK-FORWARD
InBranchBizCC,Bank Iowa,,https://www.bankiowa.bank/business/checking,https://app.notion.com/p/legacystrong/Iowa-253c3aa761d280f4b9f7f0d95afaf759,IA,,,,,,,,,,,,,,,,,,,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-INBRANCHBIZCC-BANK-IOWA
InBranchBizCC,Bank of Albuquerque,,,https://app.notion.com/p/legacystrong/New-Mexico-253c3aa761d2801cab57e40d9f2a640c,NM,,,,,,,,,,,,,,,,,,,,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-INBRANCHBIZCC-BANK-OF-ALBUQUERQUE
InBranchBizCC,Bank of America,,https://www.bankofamerica.com/smallbusiness/credit-cards/business-popular-credit-cards/,https://app.notion.com/p/legacystrong/California-253c3aa761d280ff9c2ad133360c32a2,"CA, MO, NE, RI, SD, TX",,,,,"Checking account + 30-day seasoning required.; Requires business checking and liquidity seasoning (30+ days).; Business checking required. Seasoning 30+ days helps.; Business checking required.; Keep liquidity in the account 30+ days.; Requires business checking and 30+ days of seasoning.; Business checking required; Liquidity seasoning 30+ days helps; Max of 2 card approvals within 30 days.; Max of 3 card approvals within a year.; Max of 4 card approvals within 2 years.; This is a newer rule and doesn't always apply.; For Bank of America cards (whether business or personal), approval is unli…",,,,,,,,,,yes,,,"Checking account + 30-day seasoning required.; Can hold 3 different 0% cards per business entity.; Go to local branch and meet with RM.; Requires business checking and liquidity seasoning (30+ days).; Can apply for all 3 of their 0% business cards per business.; Limits are typically lower but stackable.; 🔗 Apply here; Business checking required. Seasoning 30+ days helps.; Can apply for 3 different 0% cards per business.; Lower limits per card but can stack.; Business checking required.; Keep liquidity in the account 30+ days.; You can apply for up to 3 cards per business (each 0% product).; Lower limits individually, but stacking them works well.; Requires business checking and 30+ days of seasoning.; You can apply for up to 3 business cards (one of each type).; Lower limits, but can add…; Bank of America Business Advantage Provides 0% interest for 9 months with some reward options.; ⚡…",,"Source: Notion Deep State Datapoints (Legacy Strong); Hub refs: Bank of America cards, Favorite business credit cards, Credit Cards, Moving credit limits between credit cards",true,,,,yes,,,,,,,,,,,,,,LEGACY-INBRANCHBIZCC-BANK-OF-AMERICA
OnlineBizCC,Bank of America,,https://www.bankofamerica.com/smallbusiness/credit-cards/business-popular-credit-cards/,https://app.notion.com/p/legacystrong/Alabama-253c3aa761d2803190efc372a47f3174,"AK, AL, AR, AZ, CO, CT, DE, FL, GA, IA, ID, IL, IN, KS, KY, LA, MA, MD, ME, MI, MN, MS, MT, NC, ND, NH, NJ, NM, NV, NY, OH, OK, OR, PA, SC, TN, UT, VA, VT, WA, WI, WV, WY",,,,,Checking account is required with liquidity seasoned 30+ days.; Business checking account required; Seasoned liquidity (30+ days) helps; Requires business checking and 30+ days seasoning.; Business checking required; 30+ day seasoning of funds helps; Business checking required. Season with $5K–$10K for 30+ days.; 30+ day liquidity seasoning helps; Recommend 30+ days of seasoning with visible liquidity; Seasoning liquidity 30+ days helps; 30+ days of seasoning improves success; seasoning liquidi…; Max of 2 card approvals within 30 days.; Max of 3 card approvals within a year.; Max of 4 card ap…,,,,,,,,,,yes,,,"Checking account is required with liquidity seasoned 30+ days.; You can get up to 3 0% cards (one of each type) per business.; Lower individual limits, but approvals stack well.; Business checking account required; Seasoned liquidity (30+ days) helps; Can apply for up to 3 0% business cards per entity (1 of each type); Limits are typically lower but stackable; Requires business checking and 30+ days seasoning.; Can hold up to 3 0% cards per business (1 of each type).; Lower limits, but stackable.; Business checking required; Can apply for 3 different 0% cards per business; Limits are usually lower but stackable; 30+ day seasoning of funds helps; Up to 3 different 0% cards per business; Lower limits but stackable; Business checking required. Season with $5K–$10K for 30+ days.; Can apply fo…; Bank of America Business Advantage Provides 0% interest for 9 months with some reward options.; ⚡…",,"Source: Notion Deep State Datapoints (Legacy Strong); Hub refs: Bank of America cards, Favorite business credit cards, Credit Cards, Moving credit limits between credit cards",true,,,,yes,,,,,,,,,,,,,,LEGACY-ONLINEBIZCC-BANK-OF-AMERICA
OnlineBizCC,Bank of Blue Valley,,https://www.bankbv.com/small-business-banking/credit-card,https://app.notion.com/p/legacystrong/Missouri-253c3aa761d2806aad8cdbba6550301b,MO,,,,,,,,,,,,,,,,,,"Apply online, then expect a call to complete the process.; Reporting multi six-figure net worth helps.; Suggest $50k monthly spend (not verified).",,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-ONLINEBIZCC-BANK-OF-BLUE-VALLEY
OnlineBizCC,Bank of Blue Valley (0%,HTLF),https://www.bankbv.com/small-business-banking/credit-card,https://app.notion.com/p/legacystrong/Kansas-253c3aa761d28030a60fd298581357b7,KS,,,,,,,,,,,,,,,,,,"Apply online, then expect a follow-up call; Multi six-figure net worth helps (unverified); Mentioned ~$50k monthly spend increases approval odds",,Source: Notion Deep State Datapoints (Legacy Strong),true,,,,,,,,,,,,,,,,,,LEGACY-ONLINEBIZCC-BANK-OF-BLUE-VALLEY-0
